Tên sản phẩm,Model,Shank (mm),Aperture (mm),Use Collet,Speed Ratio,Max rpm,short_description,description,parent_category,tags
Back Drilling Seat (Center Water Outlet),0R123,10.0,-,ER16,-,22,"Back Drilling Seat (Center Water Outlet) dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 0R123
Shank: 10.0
Aperture: -
Use Collet: ER16
Speed Ratio: -
Max rpm: 22","**Đặc điểm kỹ thuật:**
- Model: 0R123
- Shank: 10.0
- Aperture: -
- Dùng collet: ER16
- Tỉ số truyền: -
- Tốc độ tối đa: 22

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-drilling-seat-(center-water-outlet), 0r123, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Drilling Seat,0R122,-,10.0,ER16,-,22,"Back Drilling Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 0R122
Shank: -
Aperture: 10.0
Use Collet: ER16
Speed Ratio: -
Max rpm: 22","**Đặc điểm kỹ thuật:**
- Model: 0R122
- Shank: -
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: -
- Tốc độ tối đa: 22

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-drilling-seat, 0r122, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Drilling Seat,54121-01,-,10.0,ER16,-,-,"Back Drilling Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 54121-01
Shank: -
Aperture: 10.0
Use Collet: ER16
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: 54121-01
- Shank: -
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-drilling-seat, 54121-01, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front 3-Axis Bidirectional Power Seat,67161,34,10.0 / 7.0,ER16 / ER11,1:1,6000,"Front 3-Axis Bidirectional Power Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 67161
Shank: 34
Aperture: 10.0 / 7.0
Use Collet: ER16 / ER11
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: 67161
- Shank: 34
- Aperture: 10.0 / 7.0
- Dùng collet: ER16 / ER11
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-3-axis-bidirectional-power-seat, 67161, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front 3-Axis One-Way Power Seat,66151,34,10.0,ER16,1:1,600,"Front 3-Axis One-Way Power Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 66151
Shank: 34
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 600","**Đặc điểm kỹ thuật:**
- Model: 66151
- Shank: 34
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 600

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-3-axis-one-way-power-seat, 66151, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Straight Shank Rotary Tool Holder,57161,22,10.0,ER16,1:1,6000,"Back Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 57161
Shank: 22
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: 57161
- Shank: 22
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-straight-shank-rotary-tool-holder, 57161, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Side Milling Straight Shank Rotary Tool Holder,33150,34,10.0,ER16,1:1,8000,"Side Milling Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 33150
Shank: 34
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 8000","**Đặc điểm kỹ thuật:**
- Model: 33150
- Shank: 34
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 8000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"side-milling-straight-shank-rotary-tool-holder, 33150, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
TSUGAMI 20# Spindle Pressure Cap,20#,-,-,-,-,-,"TSUGAMI 20# Spindle Pressure Cap dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 20#
Shank: -
Aperture: -
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: 20#
- Shank: -
- Aperture: -
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"tsugami-20#-spindle-pressure-cap, 20#, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
TSUGAMI 20# Synchronus Rotary Guide Sleeve Seat,20#,-,-,-,-,-,"TSUGAMI 20# Synchronus Rotary Guide Sleeve Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 20#
Shank: -
Aperture: -
Use Collet: -
Speed Ratio: -
Max rpm: -","**Đặc điểm kỹ thuật:**
- Model: 20#
- Shank: -
- Aperture: -
- Dùng collet: -
- Tỉ số truyền: -
- Tốc độ tối đa: -

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"tsugami-20#-synchronus-rotary-guide-sleeve-seat, 20#, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Reducing Sleeve,3281-Z79055-0302,35,20.0,-,1:1,35 / 35000,"Reducing Sleeve dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3281-Z79055-0302
Shank: 35
Aperture: 20.0
Use Collet: -
Speed Ratio: 1:1
Max rpm: 35 / 35000","**Đặc điểm kỹ thuật:**
- Model: 3281-Z79055-0302
- Shank: 35
- Aperture: 20.0
- Dùng collet: -
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 35 / 35000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"reducing-sleeve, 3281-z79055-0302, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Reducer Sleeve (Center Outlet),3282-Y212,42,25.0,Yes / -,1:1,6000 / 42,"Reducer Sleeve (Center Outlet) dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3282-Y212
Shank: 42
Aperture: 25.0
Use Collet: Yes / -
Speed Ratio: 1:1
Max rpm: 6000 / 42","**Đặc điểm kỹ thuật:**
- Model: 3282-Y212
- Shank: 42
- Aperture: 25.0
- Dùng collet: Yes / -
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000 / 42

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"reducer-sleeve-(center-outlet), 3282-y212, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Side Milling One-Way Power Seat,3290-Y041,42,10.0,ER16,1:1,6000,"Back Side Milling One-Way Power Seat dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3290-Y041
Shank: 42
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: 3290-Y041
- Shank: 42
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-side-milling-one-way-power-seat, 3290-y041, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Straight Shank Rotary Tool Holder,3220-Y7072,35,10.0,ER16,1:1,6000,"Back Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3220-Y7072
Shank: 35
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: 3220-Y7072
- Shank: 35
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-straight-shank-rotary-tool-holder, 3220-y7072, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Front Side Milling Straight Shank Rotary Tool Holder,3281-Z74045-0100,38,10.0,ER16,1:1,6000,"Front Side Milling Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3281-Z74045-0100
Shank: 38
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 6000","**Đặc điểm kỹ thuật:**
- Model: 3281-Z74045-0100
- Shank: 38
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 6000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"front-side-milling-straight-shank-rotary-tool-holder, 3281-z74045-0100, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Straight Shank Rotary Tool Holder,3281-Z79098,35,10.0,ER16,1:1,8000,"Back Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3281-Z79098
Shank: 35
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 8000","**Đặc điểm kỹ thuật:**
- Model: 3281-Z79098
- Shank: 35
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 8000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-straight-shank-rotary-tool-holder, 3281-z79098, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
Back Straight Shank Rotary Tool Holder,3281-S080,35,10.0,ER16,1:1,8000,"Back Straight Shank Rotary Tool Holder dùng cho máy tiện tự động. Thiết kế chính xác, độ bền cao, phù hợp nhiều ứng dụng gia công.
Model: 3281-S080
Shank: 35
Aperture: 10.0
Use Collet: ER16
Speed Ratio: 1:1
Max rpm: 8000","**Đặc điểm kỹ thuật:**
- Model: 3281-S080
- Shank: 35
- Aperture: 10.0
- Dùng collet: ER16
- Tỉ số truyền: 1:1
- Tốc độ tối đa: 8000

**Ứng dụng:**
- Dùng trong gá dao hoặc gia công lỗ, phay, taro tùy theo thiết kế holder.
- Phù hợp cho máy tiện Swiss-type và các ứng dụng gia công chính xác.

**Ưu điểm nổi bật:**
- Độ cứng vững cao, ổn định.
- Gia công chính xác, tuổi thọ lâu dài.
- Lắp đặt dễ dàng.",LINH KIỆN & PHỤ KIỆN,"back-straight-shank-rotary-tool-holder, 3281-s080, tool-holder, linh-kien-phu-kien, swiss-type, cnc, precision"
